hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)"
1, 0.00000, 300.482, 128.457, -0.481338, -0.65539
2, 0.00000, 250.333, 106.974, -0.332646, -0.454186
3, 0.00000, 200.209, 85.4905, -0.20951, -0.293743
4, 0.00000, 200.203, 85.4762, -0.207273, -0.297248
5, 0.00000, 250.321, 106.94, -0.326924, -0.46341
6, 0.00000, 400.845, 171.585, -0.848707, -1.19758
7, 0.00000, 501.319, 214.872, -1.32873, -1.90183
8, 0.00000, 400.793, 171.615, -0.808184, -1.26779
9, 0.00000, 400.765, 171.71, -0.775426, -1.32139
10, 0.00000, 450.991, 193.341, -0.996756, -1.66427
11, 0.00000, 501.223, 214.994, -1.23944, -2.06048
12, 0.00000, 501.239, 215.059, -1.23919, -2.06065
13, 0.00000, 551.567, 236.725, -1.55826, -2.41758
14, 0.00000, 451.007, 193.333, -1.00937, -1.64309
15, 0.00000, 450.982, 193.307, -0.996697, -1.66408
16, 0.00000, 451.01, 193.379, -1.00307, -1.65385
17, 0.00000, 501.248, 215.011, -1.25417, -2.03602
18, 0.00000, 601.903, 258.435, -1.89612, -2.82931
19, 0.00000, 753.058, 323.891, -3.05475, -4.37651
20, 0.00000, 753.088, 323.874, -3.07492, -4.33138
21, 0.00000, 853.995, 367.653, -4.00117, -5.57059
22, 0.00000, 753.109, 323.83, -3.09466, -4.28642
23, 0.00000, 601.978, 258.317, -1.96723, -2.68687
24, 0.00000, 400.861, 171.587, -0.858473, -1.18029
