hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
1, 0.00000, 177.897, 204.384, 66.872, 49.0881, 256.876, 30.5852, 0, 0
2, 0.00000, 159.597, 178.011, 66.873, 49.0882, 224.886, 33.2474, 0, 0
3, 0.00000, 207.513, 182.024, 133.614, 78.3762, 260.326, 66.2019, 0, 0
4, 0.00000, 273.871, 212.831, 200.409, 108.269, 327.693, 96.9294, 0, 0
5, 0.00000, 292.043, 239.476, 200.416, 108.275, 359.854, 94.5234, 0, 0
6, 0.00000, 412, 353.112, 267.249, 138.775, 525.247, 120.583, 0, 0
7, 0.00000, 578.898, 476.644, 401.084, 201.643, 728.152, 185.149, 0, 0
8, 0.00000, 941.468, 636.79, 804.047, 405.769, 1072.83, 402.264, 0, 0
9, 0.00000, 1340.7, 880.459, 1209.2, 634.903, 1487.61, 643.793, 0, 0
10, 0.00000, 1356.54, 912.188, 1209.13, 634.876, 1523.01, 645.863, 0, 0
11, 0.00000, 1438.65, 988.124, 1276.78, 675.546, 1628.43, 691.644, 0, 0
12, 0.00000, 1438.63, 988.309, 1276.79, 675.579, 1628.55, 691.768, 0, 0
13, 0.00000, 1123.26, 807.277, 938.708, 479.238, 1315.08, 483.425, 0, 0
14, 0.00000, 1223.53, 827.242, 1073.83, 555.548, 1383.98, 561.741, 0, 0
15, 0.00000, 1356.52, 912.068, 1209.12, 634.795, 1522.96, 645.769, 0, 0
16, 0.00000, 1290.02, 869.439, 1141.46, 594.895, 1453.51, 603.498, 0, 0
17, 0.00000, 1305.88, 900.988, 1141.38, 594.833, 1488.78, 605.442, 0, 0
18, 0.00000, 941.786, 718.903, 736.623, 370.069, 1141.31, 366.803, 0, 0
19, 0.00000, 794.758, 695.922, 535.06, 267.028, 1036.35, 256.563, 0, 0
20, 0.00000, 664.313, 622.572, 401.024, 201.621, 897.229, 184.075, 0, 0
21, 0.00000, 632.887, 646.341, 334.068, 169.87, 896.121, 149.313, 0, 0
22, 0.00000, 534.013, 552.015, 267.202, 138.758, 758.504, 114.316, 0, 0
23, 0.00000, 351.372, 399.183, 133.599, 78.3723, 520.319, 50.1781, 0, 0
24, 0.00000, 280.13, 288.914, 133.609, 78.3759, 389.203, 56.7528, 0, 0
