hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
1, 0.00000, -367.529, -157.292, -66.6932, -28.0275, -66.6937, -28.0736, 0, 0
2, 0.00000, -317.3, -135.586, -66.6946, -28.0279, -66.6947, -28.0732, 0, 0
3, 0.00000, -333.9, -142.635, -133.406, -56.5521, -133.412, -56.6068, 0, 0
4, 0.00000, -400.752, -171.406, -200.153, -85.1628, -200.166, -85.2312, 0, 0
5, 0.00000, -451.004, -193.127, -200.158, -85.1677, -200.174, -85.2393, 0, 0
6, 0.00000, -669.094, -287.802, -266.915, -113.864, -266.959, -113.957, 0, 0
7, 0.00000, -904.405, -390.579, -400.547, -171.535, -400.657, -171.661, 0, 0
8, 0.00000, -1207.58, -523.857, -802.473, -346.773, -802.815, -347.024, 0, 0
9, 0.00000, -1614.35, -705.773, -1205.8, -525.745, -1206.62, -526.138, 0, 0
10, 0.00000, -1665.28, -728.574, -1205.73, -525.778, -1206.61, -526.099, 0, 0
11, 0.00000, -1784.31, -782.226, -1272.98, -555.962, -1274.04, -556.213, 0, 0
12, 0.00000, -1784.42, -782.451, -1272.97, -555.999, -1274.05, -556.243, 0, 0
13, 0.00000, -1495.44, -652.164, -936.584, -406.084, -937.186, -406.265, 0, 0
14, 0.00000, -1529.36, -667.416, -1071.12, -465.649, -1071.81, -465.936, 0, 0
15, 0.00000, -1665.23, -728.463, -1205.71, -525.702, -1206.59, -526.024, 0, 0
16, 0.00000, -1597.36, -698.071, -1138.41, -495.714, -1139.2, -496.015, 0, 0
17, 0.00000, -1648.2, -720.766, -1138.32, -495.706, -1139.16, -495.948, 0, 0
18, 0.00000, -1343.09, -584.26, -735.24, -317.389, -735.637, -317.542, 0, 0
19, 0.00000, -1292.88, -562.536, -534.219, -229.596, -534.484, -229.719, 0, 0
20, 0.00000, -1157.98, -503.003, -400.462, -171.533, -400.623, -171.654, 0, 0
21, 0.00000, -1192.24, -518.691, -333.61, -142.644, -333.743, -142.759, 0, 0
22, 0.00000, -1023.31, -443.868, -266.845, -113.853, -266.928, -113.957, 0, 0
23, 0.00000, -736.998, -318.124, -133.378, -56.5457, -133.4, -56.6149, 0, 0
24, 0.00000, -535.091, -229.797, -133.395, -56.5503, -133.408, -56.6124, 0, 0
