hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
1, 0.00000, 8035.47, -31.1018, 8104.46, -150.205, 8103.43, 89.7886, 0, 0, 9.01802, -54.1761, 8.94123, -173.279, 8.94236, 66.7147, 0.158989, 65.2469
2, 0.00000, 8046.87, -30.951, 8104.23, -150.205, 8103.34, 89.7893, 0, 0, 9.00544, -54.0287, 8.94145, -173.279, 8.94246, 66.7155, 0.132643, 65.2809
3, 0.00000, 8040.96, -31.0093, 8088.12, -150.414, 8087.19, 89.5812, 0, 0, 18.0236, -54.0827, 17.9181, -173.487, 17.9202, 66.5083, 0.212534, 66.0674
4, 0.00000, 8023.57, -31.219, 8072.08, -150.622, 8070.96, 89.3715, 0, 0, 27.0927, -54.2886, 26.9302, -173.696, 26.9339, 66.2984, 0.319691, 66.6791
5, 0.00000, 8012, -31.3706, 8072.33, -150.623, 8071.06, 89.371, 0, 0, 27.1317, -54.4408, 26.9306, -173.696, 26.9347, 66.2968, 0.400575, 66.1901
6, 0.00000, 7958.4, -32.0424, 8056.92, -150.834, 8055.01, 89.1595, 0, 0, 36.4206, -55.1151, 35.9759, -173.907, 35.9844, 66.0856, 0.874583, 66.0058
7, 0.00000, 7896.33, -32.7855, 8024.64, -151.258, 8022, 88.7365, 0, 0, 55.0594, -55.8569, 54.1809, -174.332, 54.1986, 65.6627, 1.68117, 66.229
8, 0.00000, 7805.37, -33.7916, 7921.11, -152.549, 7917.33, 87.4457, 0, 0, 111.397, -56.86, 109.775, -175.62, 109.827, 64.3751, 2.84065, 68.1533
9, 0.00000, 7680.55, -35.1595, 7810.95, -153.881, 7805.45, 86.1161, 0, 0, 169.819, -58.2327, 166.988, -176.955, 167.105, 63.0422, 4.58635, 69.6792
10, 0.00000, 7665.88, -35.3271, 7811.4, -153.884, 7805.73, 86.1178, 0, 0, 170.144, -58.3986, 166.981, -176.958, 167.102, 63.0436, 5.16858, 69.157
11, 0.00000, 7628.96, -35.7309, 7792.8, -154.112, 7786.65, 85.894, 0, 0, 180.457, -58.7987, 176.676, -177.185, 176.814, 62.8213, 6.15235, 68.9079
12, 0.00000, 7628.82, -35.7312, 7792.79, -154.112, 7786.64, 85.8941, 0, 0, 180.475, -58.8051, 176.678, -177.186, 176.817, 62.8202, 6.1729, 68.9222
13, 0.00000, 7722.58, -34.7342, 7886.4, -152.994, 7881.59, 87.0101, 0, 0, 131.37, -57.8086, 128.639, -176.068, 128.717, 63.9362, 4.72283, 67.673
14, 0.00000, 7708.87, -34.8631, 7848.96, -153.435, 7843.9, 86.5653, 0, 0, 150.399, -57.9364, 147.713, -176.506, 147.808, 63.4939, 4.49437, 68.7173
15, 0.00000, 7665.94, -35.3269, 7811.44, -153.884, 7805.77, 86.1178, 0, 0, 170.136, -58.3952, 166.975, -176.955, 167.096, 63.0465, 5.16634, 69.1411
16, 0.00000, 7687.43, -35.0945, 7830.27, -153.659, 7824.9, 86.3422, 0, 0, 160.252, -58.171, 157.325, -176.734, 157.433, 63.2671, 4.83497, 68.9545
17, 0.00000, 7672.88, -35.2615, 7830.72, -153.661, 7825.19, 86.3437, 0, 0, 160.545, -58.3331, 157.315, -176.735, 157.426, 63.2695, 5.37437, 68.5306
18, 0.00000, 7771.01, -34.2149, 7940.14, -152.336, 7935.99, 87.6656, 0, 0, 102.575, -57.2891, 100.389, -175.41, 100.442, 64.5917, 3.92842, 66.9289
19, 0.00000, 7791.06, -34.0266, 7992.71, -151.69, 7988.82, 88.3113, 0, 0, 74.4078, -57.1013, 72.5305, -174.765, 72.5659, 65.2365, 3.50004, 66.1177
20, 0.00000, 7831.25, -33.5798, 8026.12, -151.261, 8022.7, 88.7359, 0, 0, 55.5208, -56.6561, 54.171, -174.335, 54.1943, 65.6618, 2.57583, 65.8437
21, 0.00000, 7824.46, -33.6789, 8043.13, -151.049, 8039.61, 88.9463, 0, 0, 46.3053, -56.752, 45.0471, -174.123, 45.0668, 65.8722, 2.4242, 65.6187
22, 0.00000, 7870.53, -33.1381, 8058.82, -150.836, 8055.83, 89.1569, 0, 0, 36.8292, -56.2145, 35.9674, -173.91, 35.9808, 66.083, 1.68503, 65.559
23, 0.00000, 7946.33, -32.2328, 8090.08, -150.414, 8087.97, 89.5764, 0, 0, 18.2389, -55.3089, 17.9142, -173.488, 17.9189, 66.5025, 0.654954, 65.3148
24, 0.00000, 7994.55, -31.6165, 8089.09, -150.414, 8087.58, 89.5788, 0, 0, 18.1285, -54.6912, 17.9164, -173.488, 17.9198, 66.505, 0.430493, 65.4614
