hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
1, 0.00000, 81267.5, -0.000101599, 81267.8, -120, 81267.7, 120, 0, 0, 3.33419, -48.9636, 1.02076, -156.281, 3.18318, 113.21, 0, 0
2, 0.00000, 81267.6, -0.0000922177, 81267.8, -120, 81267.7, 120, 0, 0, 2.94188, -48.1219, 1.02077, -156.281, 2.7973, 111.59, 0, 0
3, 0.00000, 81267.6, -0.000129813, 81267.7, -120, 81267.7, 120, 0, 0, 3.3966, -41.2564, 1.90611, -150.395, 3.30527, 105.732, 0, 0
4, 0.00000, 81267.5, -0.000176821, 81267.6, -120, 81267.6, 120, 0, 0, 4.26796, -37.8517, 2.8029, -148.38, 4.20498, 103.522, 0, 0
5, 0.00000, 81267.5, -0.000186046, 81267.6, -120, 81267.6, 120, 0, 0, 4.64731, -39.352, 2.80301, -148.38, 4.57822, 105.282, 0, 0
6, 0.00000, 81267.3, -0.000259413, 81267.6, -120, 81267.5, 120, 0, 0, 6.67693, -40.599, 3.70544, -147.442, 6.63132, 107.07, 0, 0
7, 0.00000, 81267.1, -0.000368417, 81267.5, -120, 81267.4, 119.999, 0, 0, 9.22728, -39.4672, 5.52397, -146.691, 9.24506, 105.733, 0, 0
8, 0.00000, 81266.8, -0.000626899, 81267.1, -120.001, 81267.1, 119.999, 0, 0, 13.986, -34.0743, 11.0824, -146.779, 14.0988, 99.4454, 0, 0
9, 0.00000, 81266.4, -0.000898029, 81266.8, -120.001, 81266.7, 119.999, 0, 0, 19.737, -33.2945, 16.8057, -147.703, 19.946, 96.5975, 0, 0
10, 0.00000, 81266.4, -0.000904373, 81266.8, -120.001, 81266.7, 119.999, 0, 0, 20.1155, -33.9192, 16.8049, -147.703, 20.3564, 97.0185, 0, 0
11, 0.00000, 81266.3, -0.000954961, 81266.7, -120.001, 81266.6, 119.999, 0, 0, 21.4764, -34.4838, 17.7746, -147.884, 21.7706, 96.9864, 0, 0
12, 0.00000, 81266.3, -0.000954912, 81266.7, -120.001, 81266.6, 119.999, 0, 0, 21.4776, -34.4891, 17.7748, -147.885, 21.7726, 96.9843, 0, 0
13, 0.00000, 81266.6, -0.000738432, 81267, -120.001, 81266.9, 119.999, 0, 0, 17.0212, -35.7053, 12.9692, -147.046, 17.241, 99.8156, 0, 0
14, 0.00000, 81266.5, -0.000814792, 81266.9, -120.001, 81266.8, 119.999, 0, 0, 18.174, -34.0639, 14.8772, -147.356, 18.3794, 97.9073, 0, 0
15, 0.00000, 81266.4, -0.000904381, 81266.8, -120.001, 81266.7, 119.999, 0, 0, 20.1145, -33.9161, 16.8043, -147.701, 20.3553, 97.0208, 0, 0
16, 0.00000, 81266.5, -0.000859625, 81266.8, -120.001, 81266.7, 119.999, 0, 0, 19.1427, -33.9798, 15.8389, -147.528, 19.3661, 97.4507, 0, 0
17, 0.00000, 81266.4, -0.000866015, 81266.8, -120.001, 81266.7, 119.999, 0, 0, 19.5227, -34.6045, 15.8377, -147.527, 19.7766, 97.8688, 0, 0
18, 0.00000, 81266.7, -0.000610703, 81267.2, -120.001, 81267.1, 119.999, 0, 0, 14.5793, -37.3566, 10.1438, -146.675, 14.7514, 102.182, 0, 0
19, 0.00000, 81266.8, -0.000497477, 81267.4, -120, 81267.2, 119.999, 0, 0, 12.999, -41.2072, 7.35832, -146.522, 13.1373, 106.094, 0, 0
20, 0.00000, 81266.9, -0.000407633, 81267.5, -120, 81267.4, 119.999, 0, 0, 11.2031, -43.1427, 5.52318, -146.692, 11.2704, 108.405, 0, 0
21, 0.00000, 81266.9, -0.000377686, 81267.5, -120, 81267.4, 119.999, 0, 0, 11.1312, -45.6029, 4.61164, -146.953, 11.1788, 110.539, 0, 0
22, 0.00000, 81267, -0.000317346, 81267.6, -120, 81267.5, 119.999, 0, 0, 9.45086, -45.9499, 3.70483, -147.443, 9.43884, 111.429, 0, 0
23, 0.00000, 81267.3, -0.000201595, 81267.7, -120, 81267.6, 120, 0, 0, 6.54382, -48.6451, 1.90592, -150.397, 6.43224, 114.491, 0, 0
24, 0.00000, 81267.4, -0.000166594, 81267.7, -120, 81267.6, 120, 0, 0, 4.95184, -45.8845, 1.90605, -150.396, 4.8398, 111.703, 0, 0
