hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
1, 0.00000, 8051.09, -31.0074, 8106.86, -150.181, 8106.86, 89.8194, 0, 0, 49.6545, 125.823, 8.92369, 7.02513, 8.92596, -113.008, 40.7365, -54.4337
2, 0.00000, 8060.63, -30.8685, 8106.86, -150.181, 8106.85, 89.8194, 0, 0, 42.8074, 125.994, 8.92387, 7.02528, 8.92605, -113.008, 33.8886, -54.27
3, 0.00000, 8057.53, -30.9144, 8094.76, -150.363, 8094.75, 89.637, 0, 0, 45.0621, 125.954, 17.9002, 6.66459, 17.9035, -113.355, 27.1676, -54.5011
4, 0.00000, 8044.84, -31.0995, 8082.5, -150.546, 8082.49, 89.454, 0, 0, 54.18, 125.744, 26.9122, 6.40489, 26.917, -113.61, 27.275, -54.8923
5, 0.00000, 8035.18, -31.239, 8082.5, -150.546, 8082.48, 89.4539, 0, 0, 61.0583, 125.58, 26.913, 6.4042, 26.9183, -113.612, 34.1539, -55.0562
6, 0.00000, 7992.25, -31.8487, 8070.08, -150.73, 8070.06, 89.2702, 0, 0, 91.1341, 124.877, 35.9584, 6.16763, 35.968, -113.846, 55.1929, -55.9506
7, 0.00000, 7944.06, -32.5147, 8044.77, -151.099, 8044.74, 88.9006, 0, 0, 124.01, 124.128, 54.1634, 5.71794, 54.1823, -114.292, 69.881, -57.0878
8, 0.00000, 7879, -33.3866, 7964.82, -152.225, 7964.73, 87.7737, 0, 0, 167.066, 123.162, 109.757, 4.40416, 109.81, -115.603, 57.3668, -59.1625
9, 0.00000, 7785.4, -34.584, 7878.25, -153.382, 7878.08, 86.6157, 0, 0, 226.306, 121.802, 166.97, 3.06047, 167.089, -116.944, 59.4312, -61.633
10, 0.00000, 7773.24, -34.7364, 7878.23, -153.382, 7878.09, 86.6157, 0, 0, 233.839, 121.634, 166.963, 3.05801, 167.086, -116.942, 66.9862, -61.8281
11, 0.00000, 7744.26, -35.0948, 7863.12, -153.577, 7863.01, 86.4195, 0, 0, 251.573, 121.233, 176.658, 2.82987, 176.798, -117.165, 75.0511, -62.4426
12, 0.00000, 7744.16, -35.0951, 7863.11, -153.577, 7862.99, 86.4195, 0, 0, 251.6, 121.228, 176.66, 2.8284, 176.801, -117.166, 75.0759, -62.4552
13, 0.00000, 7813.57, -34.2304, 7936.7, -152.607, 7936.64, 87.3915, 0, 0, 208.798, 122.208, 128.622, 3.95278, 128.701, -116.045, 80.2823, -60.5427
14, 0.00000, 7805.61, -34.331, 7907.89, -152.992, 7907.77, 87.0055, 0, 0, 213.776, 122.093, 147.695, 3.51155, 147.792, -116.49, 66.1758, -61.0026
15, 0.00000, 7773.29, -34.7362, 7878.26, -153.381, 7878.13, 86.6158, 0, 0, 233.825, 121.637, 166.958, 3.06088, 167.079, -116.939, 66.9785, -61.8264
16, 0.00000, 7789.48, -34.5333, 7893.14, -153.186, 7893.01, 86.8111, 0, 0, 223.793, 121.861, 157.308, 3.28302, 157.417, -116.718, 66.5872, -61.42
17, 0.00000, 7777.4, -34.6851, 7893.14, -153.186, 7893.04, 86.8112, 0, 0, 231.299, 121.695, 157.298, 3.28209, 157.41, -116.715, 74.1202, -61.6041
18, 0.00000, 7848.57, -33.7817, 7978.55, -152.035, 7978.51, 87.9636, 0, 0, 186.615, 122.709, 100.372, 4.61599, 100.425, -115.384, 86.3338, -59.4787
19, 0.00000, 7859.65, -33.6349, 8018.78, -151.471, 8018.77, 88.5282, 0, 0, 179.392, 122.851, 72.5132, 5.27218, 72.5497, -114.73, 106.969, -58.7726
20, 0.00000, 7889.47, -33.2428, 8044.76, -151.099, 8044.75, 88.9006, 0, 0, 160.024, 123.278, 54.1536, 5.71401, 54.178, -114.293, 105.937, -57.954
21, 0.00000, 7881.72, -33.3421, 8057.49, -150.914, 8057.49, 89.0858, 0, 0, 164.962, 123.146, 45.0297, 5.93601, 45.0505, -114.073, 120, -57.8901
22, 0.00000, 7918.49, -32.8547, 8070.07, -150.729, 8070.07, 89.2702, 0, 0, 140.864, 123.696, 35.9499, 6.16446, 35.9645, -113.848, 104.958, -57.1399
23, 0.00000, 7978.25, -32.0399, 8094.74, -150.363, 8094.75, 89.6369, 0, 0, 100.614, 124.613, 17.8967, 6.6626, 17.9025, -113.359, 82.7342, -55.8246
24, 0.00000, 8018.73, -31.4732, 8094.75, -150.363, 8094.75, 89.637, 0, 0, 72.6235, 125.286, 17.8988, 6.6635, 17.9033, -113.357, 54.7346, -55.1575
